Spp,DOD,Pot_Num,LWP,SM_Echo_corr,RG_Proportion,RWC,Symbol,Pot_num,DoD,Leaf_Water,LW_FBM,LogRG,LogWP,RWC
ARTR,15,62,-1.4,18.3,0.623980186,88.032823,23,62,15,0.1169,0.684025746,-0.204829201,-0.932185489,0.88032823
ARTR,15,90,-2.45,7.6,0.123980186,20.40836735,22,90,15,0.1178,0.662915025,-0.204829201,-0.92885471,20.40836735
ARTR,45,76,-9,3.1,0.139784946,24.41571429,23,76,45,0.0164,0.232954545,-0.854539597,-1.785156152,24.41571429
ARTR,28,73,-1.15,10.9,0.356888096,31.38163265,23,73,28,0.1319,0.643728648,-0.447467938,-0.879755204,31.38163265
ARTR,15,85,-1.82,8.7,0.623980186,71.38163265,22,85,15,0.2276,0.613311776,-0.204829201,-0.642827742,31.38163265
ARTR,28,89,-10,6.4,0.356888096,46.41469388,22,89,28,0.0331,0.265437049,-0.447467938,-1.480172006,46.41469388
ARTR,45,90,-9.5,6.5,0.39784946,46.41469388,22,90,45,0.0032,0.122605364,-0.854539597,-2.494850022,46.41469388
ARTR,45,61,-9,4.7,0.139784946,47.50367347,23,61,45,0.0168,0.410757946,-0.854539597,-1.774690718,47.50367347
ARTR,28,69,-1.82,11.3,0.256888096,58.05877551,23,69,28,0.1364,0.611659193,-0.447467938,-0.86518563,58.05877551
ARTR,28,81,-7,6.4,0.496888096,83.90204082,23,81,28,0.0213,0.210474308,-0.447467938,-1.671620397,83.90204082
ARTR,35,87,-6.2,8.2,0.458359688,85.95061224,22,87,35,0.0988,0.385786802,-0.338793585,-1.005243055,85.95061224
ARTR,45,83,-7,3.9,0.439784946,85.97469388,22,83,45,0.0164,0.134316134,-0.854539597,-1.785156152,85.97469388